Name,Price
"BÁN NHÀ MT CHỢ PHẠM VĂN HAI,TÂN BÌNH 5x21 105m2 ĐANG CHO THUÊ 38TR/THÁNG 5 TỶ 150TR","Giá: 5,15 tỷ "
NỢ NGÂN HÀNG BÁN GẤP NHÀ 1T2L BÁN LỖ BÁN NHANH TRONG CHỢ HOA Hồ Thị Kỷ Q10 0359751XXX,"Giá: 3,55 tỷ "
Bán nhà đường tỉnh lộ 10 tân tạo quận bình tân,"Giá: 1,15 tỷ "
Bán nhà Trường Thọ sát mặt tiền 40m2 chỉ hơn 2 tỷ shr,"Giá: 2,6 tỷ "
"Bán lỗ căn nhà DT: 46.4m2, 1T 2L, ngay chợ Hoa Hồ Thị Kỷ - Q10, giá rẻ nhất khu vực","Giá: 3,5 tỷ "
MTKD Phú Thọ Hòa Tân Phú 150m2 5x30 chợ vải sầm uất SHR đẹp giá ngộp nặng chỉ 22.5 tỷ TL,"Giá: 22,5 tỷ "
"BÁN GẤP NHÀ ĐẸP ĐƯỜNG LÊ VĂN DUYỆT, Q. BÌNH THẠNH, TP.HCM GIÁ CHỈ 7.6 TỶ","Giá: 7,6 tỷ "
"GẤP BÁN HXH - XÔ VIẾT NGHỆ TĨNH, - DT 60M2 - 2 TẦNG BTCT  - GIÁ HƠN 3 TỶ","Giá: 3,7 tỷ "
Ngộp Giảm 400 - 500 Triệu Dãy nhà 3 lầu gần  VẠN PHÚC CITY,"Giá: 6,2 tỷ "
"Nhà 1/ hẻm ô tô ngay Võ Văn Tần, P.6, Quận 3. Giá 3.8 tỷ/50m2, sổ riêng","Giá: 3,8 tỷ "
"Bán nhà đẹp, chính chủ đường Đào Duy Anh. DT 69m2, gần công viên Gia Định, giá 3tỷ4","Giá: 3,4 tỷ "
"Gấp gấp, cần bán nhà đường Trường Sa, giá tốt chỉ 4tỷ. DT 70m2, gần cầu Công Lý",Giá: 4 tỷ 
Giảm sâu 5 tỷ còn 37 tỷ tòa nhà 3 mt ngay Phan Đăng Lưu DT 6*16 Hầm 7 tầng HĐT 100tr.,Giá: 37 tỷ 
Siêu phảm góc 2 mặt tiền Nguyễn Văn Trỗi Q.Phú Nhuận ngang 11m- 2 tầng HĐT 100tr giá 52 tỷ,Giá: 52 tỷ 
"Giảm mạnh 7 tỷ tòa nhà 6 lầu tầng hầm mặt tiền đường lớn 40tỷ-33 tỷ mở cty văn phòng KS,NH",Giá: 33 tỷ 
"Chính chủ đang ngộp cần bán căn nhà Nơ Trang Long, Bình Thạnh, diện tích 67m2. Giá 4.3 tỷ.","Giá: 4,3 tỷ "
"Chính chủ cần bán gấp căn nhà ngay mặt tiền 30 Võ Văn Tần, Phường 6, Quận 3 giá 8.2 tỷ","Giá: 8,2 tỷ "
LỖ CŨNG BÁN ! TÒA NHÀ HỆ THỐNG MẦM NON NGAY NGUYỄN SƠN.TÂN PHÚ,Giá: 100 tỷ 
"Chính chủ bán nhà mới xây, Vào ở ngay sổ hồng có sẵn - 3 Tầng Q. Bình Tân","Giá: 2,5 tỷ "
"Kẹt tiền ngộp ngân hàng bán gấp nhà mới full nội thất Tô Hiệu, Tân Phú","Giá: 6,8 tỷ "
